"Date","Year","Month","Week","Disease","Cases","URL","Country","Method","PopulationRaw","Population","PopulationCountry","CasesRaw","RawIncidence","OfficialAnnualCases","AnnualCaseSource","AnnualCaseNotes","AnnualRawCases","AdjustmentFactor","AnalysisCases","AnalysisIncidence","Incidence"
2017-06-01,2017,6,NA,"pertussis",950,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",24731038.5,247.310385,"Australia",950,3.84132676029759,NA,"Reporting-interval sum","",12235,1,950,3.84132676029759,3.84132676029759
2017-07-01,2017,7,NA,"pertussis",1055,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",24731038.5,247.310385,"Australia",1055,4.2658944548568,NA,"Reporting-interval sum","",12235,1,1055,4.2658944548568,4.2658944548568
2017-08-01,2017,8,NA,"pertussis",1097,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",24731038.5,247.310385,"Australia",1097,4.43572153268048,NA,"Reporting-interval sum","",12235,1,1097,4.43572153268048,4.43572153268048
2017-09-01,2017,9,NA,"pertussis",977,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",24731038.5,247.310385,"Australia",977,3.9505013103271,NA,"Reporting-interval sum","",12235,1,977,3.9505013103271,3.9505013103271
2017-10-01,2017,10,NA,"pertussis",1020,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",24731038.5,247.310385,"Australia",1020,4.12437189000373,NA,"Reporting-interval sum","",12235,1,1020,4.12437189000373,4.12437189000373
2017-11-01,2017,11,NA,"pertussis",1002,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",24731038.5,247.310385,"Australia",1002,4.05158885665072,NA,"Reporting-interval sum","",12235,1,1002,4.05158885665072,4.05158885665072
2017-12-01,2017,12,NA,"pertussis",819,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",24731038.5,247.310385,"Australia",819,3.31162801756182,NA,"Reporting-interval sum","",12235,1,819,3.31162801756182,3.31162801756182
2018-01-01,2018,1,NA,"pertussis",877,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25119705.5,251.197055,"Australia",877,3.49128296906188,NA,"Reporting-interval sum","",12581,1,877,3.49128296906188,3.49128296906188
2018-02-01,2018,2,NA,"pertussis",817,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25119705.5,251.197055,"Australia",817,3.25242666559128,NA,"Reporting-interval sum","",12581,1,817,3.25242666559128,3.25242666559128
2018-03-01,2018,3,NA,"pertussis",772,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25119705.5,251.197055,"Australia",772,3.07328443798834,NA,"Reporting-interval sum","",12581,1,772,3.07328443798834,3.07328443798834
2018-04-01,2018,4,NA,"pertussis",742,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25119705.5,251.197055,"Australia",742,2.95385628625304,NA,"Reporting-interval sum","",12581,1,742,2.95385628625304,2.95385628625304
2018-05-01,2018,5,NA,"pertussis",780,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25119705.5,251.197055,"Australia",780,3.10513194511775,NA,"Reporting-interval sum","",12581,1,780,3.10513194511775,3.10513194511775
2018-06-01,2018,6,NA,"pertussis",695,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25119705.5,251.197055,"Australia",695,2.76675218186774,NA,"Reporting-interval sum","",12581,1,695,2.76675218186774,2.76675218186774
2018-07-01,2018,7,NA,"pertussis",729,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25119705.5,251.197055,"Australia",729,2.90210408716774,NA,"Reporting-interval sum","",12581,1,729,2.90210408716774,2.90210408716774
2018-08-01,2018,8,NA,"pertussis",1171,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25119705.5,251.197055,"Australia",1171,4.6616788560678,NA,"Reporting-interval sum","",12581,1,1171,4.6616788560678,4.6616788560678
2018-09-01,2018,9,NA,"pertussis",1207,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25119705.5,251.197055,"Australia",1207,4.80499263815016,NA,"Reporting-interval sum","",12581,1,1207,4.80499263815016,4.80499263815016
2018-10-01,2018,10,NA,"pertussis",1429,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25119705.5,251.197055,"Australia",1429,5.68876096099136,NA,"Reporting-interval sum","",12581,1,1429,5.68876096099136,5.68876096099136
2018-11-01,2018,11,NA,"pertussis",1827,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25119705.5,251.197055,"Australia",1827,7.27317444067965,NA,"Reporting-interval sum","",12581,1,1827,7.27317444067965,7.27317444067965
2018-12-01,2018,12,NA,"pertussis",1535,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25119705.5,251.197055,"Australia",1535,6.11074043045608,NA,"Reporting-interval sum","",12581,1,1535,6.11074043045608,6.11074043045608
2019-01-01,2019,1,NA,"pertussis",1315,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25482714,254.82714,"Australia",1315,5.16036086266165,NA,"Reporting-interval sum","",12025,1,1315,5.16036086266165,5.16036086266165
2019-02-01,2019,2,NA,"pertussis",835,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25482714,254.82714,"Australia",835,3.27673104207032,NA,"Reporting-interval sum","",12025,1,835,3.27673104207032,3.27673104207032
2019-03-01,2019,3,NA,"pertussis",935,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25482714,254.82714,"Australia",935,3.66915392136018,NA,"Reporting-interval sum","",12025,1,935,3.66915392136018,3.66915392136018
2019-04-01,2019,4,NA,"pertussis",793,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25482714,254.82714,"Australia",793,3.11191343276858,NA,"Reporting-interval sum","",12025,1,793,3.11191343276858,3.11191343276858
2019-05-01,2019,5,NA,"pertussis",985,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25482714,254.82714,"Australia",985,3.86536536100511,NA,"Reporting-interval sum","",12025,1,985,3.86536536100511,3.86536536100511
2019-06-01,2019,6,NA,"pertussis",841,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25482714,254.82714,"Australia",841,3.30027641482771,NA,"Reporting-interval sum","",12025,1,841,3.30027641482771,3.30027641482771
2019-07-01,2019,7,NA,"pertussis",959,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25482714,254.82714,"Australia",959,3.76333541238975,NA,"Reporting-interval sum","",12025,1,959,3.76333541238975,3.76333541238975
2019-08-01,2019,8,NA,"pertussis",1057,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25482714,254.82714,"Australia",1057,4.14790983409381,NA,"Reporting-interval sum","",12025,1,1057,4.14790983409381,4.14790983409381
2019-09-01,2019,9,NA,"pertussis",1034,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25482714,254.82714,"Australia",1034,4.05765257185714,NA,"Reporting-interval sum","",12025,1,1034,4.05765257185714,4.05765257185714
2019-10-01,2019,10,NA,"pertussis",1020,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25482714,254.82714,"Australia",1020,4.00271336875656,NA,"Reporting-interval sum","",12025,1,1020,4.00271336875656,4.00271336875656
2019-11-01,2019,11,NA,"pertussis",1177,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25482714,254.82714,"Australia",1177,4.61881728924164,NA,"Reporting-interval sum","",12025,1,1177,4.61881728924164,4.61881728924164
2019-12-01,2019,12,NA,"pertussis",1074,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25482714,254.82714,"Australia",1074,4.21462172357309,NA,"Reporting-interval sum","",12025,1,1074,4.21462172357309,4.21462172357309
2020-01-01,2020,1,NA,"pertussis",871,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25743791,257.43791,"Australia",871,3.38334008382837,NA,"Reporting-interval sum","",3457,1,871,3.38334008382837,3.38334008382837
2020-02-01,2020,2,NA,"pertussis",762,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25743791,257.43791,"Australia",762,2.95993701937683,NA,"Reporting-interval sum","",3457,1,762,2.95993701937683,2.95993701937683
2020-03-01,2020,3,NA,"pertussis",682,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25743791,257.43791,"Australia",682,2.6491824766601,NA,"Reporting-interval sum","",3457,1,682,2.6491824766601,2.6491824766601
2020-04-01,2020,4,NA,"pertussis",371,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25743791,257.43791,"Australia",371,1.44112419184882,NA,"Reporting-interval sum","",3457,1,371,1.44112419184882,1.44112419184882
2020-05-01,2020,5,NA,"pertussis",213,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25743791,257.43791,"Australia",213,0.827383969983286,NA,"Reporting-interval sum","",3457,1,213,0.827383969983286,0.827383969983286
2020-06-01,2020,6,NA,"pertussis",194,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25743791,257.43791,"Australia",194,0.753579766088064,NA,"Reporting-interval sum","",3457,1,194,0.753579766088064,0.753579766088064
2020-07-01,2020,7,NA,"pertussis",127,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25743791,257.43791,"Australia",127,0.493322836562805,NA,"Reporting-interval sum","",3457,1,127,0.493322836562805,0.493322836562805
2020-08-01,2020,8,NA,"pertussis",70,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25743791,257.43791,"Australia",70,0.271910224877136,NA,"Reporting-interval sum","",3457,1,70,0.271910224877136,0.271910224877136
2020-09-01,2020,9,NA,"pertussis",51,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25743791,257.43791,"Australia",51,0.198106020981914,NA,"Reporting-interval sum","",3457,1,51,0.198106020981914,0.198106020981914
2020-10-01,2020,10,NA,"pertussis",24,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25743791,257.43791,"Australia",24,0.0932263628150182,NA,"Reporting-interval sum","",3457,1,24,0.0932263628150182,0.0932263628150182
2020-11-01,2020,11,NA,"pertussis",44,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25743791,257.43791,"Australia",44,0.1709149984942,NA,"Reporting-interval sum","",3457,1,44,0.1709149984942,0.1709149984942
2020-12-01,2020,12,NA,"pertussis",48,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25743791,257.43791,"Australia",48,0.186452725630036,NA,"Reporting-interval sum","",3457,1,48,0.186452725630036,0.186452725630036
2021-01-01,2021,1,NA,"pertussis",40,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25956417.5,259.564175,"Australia",40,0.154104471466449,NA,"Reporting-interval sum","",550,1,40,0.154104471466449,0.154104471466449
2021-02-01,2021,2,NA,"pertussis",54,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25956417.5,259.564175,"Australia",54,0.208041036479707,NA,"Reporting-interval sum","",550,1,54,0.208041036479707,0.208041036479707
2021-03-01,2021,3,NA,"pertussis",53,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25956417.5,259.564175,"Australia",53,0.204188424693046,NA,"Reporting-interval sum","",550,1,53,0.204188424693046,0.204188424693046
2021-04-01,2021,4,NA,"pertussis",48,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25956417.5,259.564175,"Australia",48,0.184925365759739,NA,"Reporting-interval sum","",550,1,48,0.184925365759739,0.184925365759739
2021-05-01,2021,5,NA,"pertussis",52,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25956417.5,259.564175,"Australia",52,0.200335812906384,NA,"Reporting-interval sum","",550,1,52,0.200335812906384,0.200335812906384
2021-06-01,2021,6,NA,"pertussis",57,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25956417.5,259.564175,"Australia",57,0.219598871839691,NA,"Reporting-interval sum","",550,1,57,0.219598871839691,0.219598871839691
2021-07-01,2021,7,NA,"pertussis",38,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25956417.5,259.564175,"Australia",38,0.146399247893127,NA,"Reporting-interval sum","",550,1,38,0.146399247893127,0.146399247893127
2021-08-01,2021,8,NA,"pertussis",51,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25956417.5,259.564175,"Australia",51,0.196483201119723,NA,"Reporting-interval sum","",550,1,51,0.196483201119723,0.196483201119723
2021-09-01,2021,9,NA,"pertussis",38,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25956417.5,259.564175,"Australia",38,0.146399247893127,NA,"Reporting-interval sum","",550,1,38,0.146399247893127,0.146399247893127
2021-10-01,2021,10,NA,"pertussis",41,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25956417.5,259.564175,"Australia",41,0.157957083253111,NA,"Reporting-interval sum","",550,1,41,0.157957083253111,0.157957083253111
2021-11-01,2021,11,NA,"pertussis",48,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25956417.5,259.564175,"Australia",48,0.184925365759739,NA,"Reporting-interval sum","",550,1,48,0.184925365759739,0.184925365759739
2021-12-01,2021,12,NA,"pertussis",30,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",25956417.5,259.564175,"Australia",30,0.115578353599837,NA,"Reporting-interval sum","",550,1,30,0.115578353599837,0.115578353599837
2022-01-01,2022,1,NA,"pertussis",41,"https://nindss.health.gov.au/pbi-dashboard/","AU","Projection",26200984.5,262.009845,"Australia",41,0.15648266957297,NA,"Reporting-interval sum","",482,1,41,0.15648266957297,0.15648266957297
2022-02-01,2022,2,NA,"pertussis",43,"https://nindss.health.gov.au/pbi-dashboard/","AU","Projection",26200984.5,262.009845,"Australia",43,0.164115970527749,NA,"Reporting-interval sum","",482,1,43,0.164115970527749,0.164115970527749
2022-03-01,2022,3,NA,"pertussis",47,"https://nindss.health.gov.au/pbi-dashboard/","AU","Projection",26200984.5,262.009845,"Australia",47,0.179382572437307,NA,"Reporting-interval sum","",482,1,47,0.179382572437307,0.179382572437307
2022-04-01,2022,4,NA,"pertussis",22,"https://nindss.health.gov.au/pbi-dashboard/","AU","Projection",26200984.5,262.009845,"Australia",22,0.0839663105025691,NA,"Reporting-interval sum","",482,1,22,0.0839663105025691,0.0839663105025691
2022-05-01,2022,5,NA,"pertussis",39,"https://nindss.health.gov.au/pbi-dashboard/","AU","Projection",26200984.5,262.009845,"Australia",39,0.148849368618191,NA,"Reporting-interval sum","",482,1,39,0.148849368618191,0.148849368618191
2022-06-01,2022,6,NA,"pertussis",35,"https://nindss.health.gov.au/pbi-dashboard/","AU","Projection",26200984.5,262.009845,"Australia",35,0.133582766708633,NA,"Reporting-interval sum","",482,1,35,0.133582766708633,0.133582766708633
2022-07-01,2022,7,NA,"pertussis",42,"https://nindss.health.gov.au/pbi-dashboard/","AU","Projection",26200984.5,262.009845,"Australia",42,0.160299320050359,NA,"Reporting-interval sum","",482,1,42,0.160299320050359,0.160299320050359
2022-08-01,2022,8,NA,"pertussis",64,"https://nindss.health.gov.au/pbi-dashboard/","AU","Projection",26200984.5,262.009845,"Australia",64,0.244265630552928,NA,"Reporting-interval sum","",482,1,64,0.244265630552928,0.244265630552928
2022-09-01,2022,9,NA,"pertussis",38,"https://nindss.health.gov.au/pbi-dashboard/","AU","Projection",26200984.5,262.009845,"Australia",38,0.145032718140801,NA,"Reporting-interval sum","",482,1,38,0.145032718140801,0.145032718140801
2022-10-01,2022,10,NA,"pertussis",40,"https://nindss.health.gov.au/pbi-dashboard/","AU","Projection",26200984.5,262.009845,"Australia",40,0.15266601909558,NA,"Reporting-interval sum","",482,1,40,0.15266601909558,0.15266601909558
2022-11-01,2022,11,NA,"pertussis",35,"https://nindss.health.gov.au/pbi-dashboard/","AU","Projection",26200984.5,262.009845,"Australia",35,0.133582766708633,NA,"Reporting-interval sum","",482,1,35,0.133582766708633,0.133582766708633
2022-12-01,2022,12,NA,"pertussis",36,"https://nindss.health.gov.au/pbi-dashboard/","AU","Projection",26200984.5,262.009845,"Australia",36,0.137399417186022,NA,"Reporting-interval sum","",482,1,36,0.137399417186022,0.137399417186022
2023-01-01,2023,1,NA,"pertussis",46,"https://nindss.health.gov.au/pbi-dashboard/","AU","Projection",26451124,264.51124,"Australia",46,0.173905653309856,NA,"Reporting-interval sum","",2442,1,46,0.173905653309856,0.173905653309856
2023-02-01,2023,2,NA,"pertussis",34,"https://nindss.health.gov.au/pbi-dashboard/","AU","Projection",26451124,264.51124,"Australia",34,0.128538961142067,NA,"Reporting-interval sum","",2442,1,34,0.128538961142067,0.128538961142067
2023-03-01,2023,3,NA,"pertussis",44,"https://nindss.health.gov.au/pbi-dashboard/","AU","Projection",26451124,264.51124,"Australia",44,0.166344537948557,NA,"Reporting-interval sum","",2442,1,44,0.166344537948557,0.166344537948557
2023-04-01,2023,4,NA,"pertussis",43,"https://nindss.health.gov.au/pbi-dashboard/","AU","Projection",26451124,264.51124,"Australia",43,0.162563980267908,NA,"Reporting-interval sum","",2442,1,43,0.162563980267908,0.162563980267908
2023-05-01,2023,5,NA,"pertussis",77,"https://nindss.health.gov.au/pbi-dashboard/","AU","Projection",26451124,264.51124,"Australia",77,0.291102941409976,NA,"Reporting-interval sum","",2442,1,77,0.291102941409976,0.291102941409976
2023-06-01,2023,6,NA,"pertussis",92,"https://nindss.health.gov.au/pbi-dashboard/","AU","Projection",26451124,264.51124,"Australia",92,0.347811306619711,NA,"Reporting-interval sum","",2442,1,92,0.347811306619711,0.347811306619711
2023-07-01,2023,7,NA,"pertussis",95,"https://nindss.health.gov.au/pbi-dashboard/","AU","Projection",26451124,264.51124,"Australia",95,0.359152979661658,NA,"Reporting-interval sum","",2442,1,95,0.359152979661658,0.359152979661658
2023-08-01,2023,8,NA,"pertussis",156,"https://nindss.health.gov.au/pbi-dashboard/","AU","Projection",26451124,264.51124,"Australia",156,0.589766998181249,NA,"Reporting-interval sum","",2442,1,156,0.589766998181249,0.589766998181249
2023-09-01,2023,9,NA,"pertussis",270,"https://nindss.health.gov.au/pbi-dashboard/","AU","Projection",26451124,264.51124,"Australia",270,1.02075057377524,NA,"Reporting-interval sum","",2442,1,270,1.02075057377524,1.02075057377524
2023-10-01,2023,10,NA,"pertussis",367,"https://nindss.health.gov.au/pbi-dashboard/","AU","Projection",26451124,264.51124,"Australia",367,1.3874646687982,NA,"Reporting-interval sum","",2442,1,367,1.3874646687982,1.3874646687982
2023-11-01,2023,11,NA,"pertussis",633,"https://nindss.health.gov.au/pbi-dashboard/","AU","Projection",26451124,264.51124,"Australia",633,2.39309301185084,NA,"Reporting-interval sum","",2442,1,633,2.39309301185084,2.39309301185084
2023-12-01,2023,12,NA,"pertussis",585,"https://nindss.health.gov.au/pbi-dashboard/","AU","Projection",26451124,264.51124,"Australia",585,2.21162624317969,NA,"Reporting-interval sum","",2442,1,585,2.21162624317969,2.21162624317969
2024-01-01,2024,1,NA,"Pertussis",827,"https://nindss.health.gov.au/pbi-dashboard/","AU","Projection",26713205,267.13205,"Australia",827,3.0958471662236,NA,"Reporting-interval sum","",56426,1,827,3.0958471662236,3.0958471662236
2024-02-01,2024,2,NA,"Pertussis",846,"https://nindss.health.gov.au/pbi-dashboard/","AU","Projection",26713205,267.13205,"Australia",846,3.16697303824083,NA,"Reporting-interval sum","",56426,1,846,3.16697303824083,3.16697303824083
2024-03-01,2024,3,NA,"Pertussis",1375,"https://nindss.health.gov.au/pbi-dashboard/","AU","Projection",26713205,267.13205,"Australia",1375,5.14726705387841,NA,"Reporting-interval sum","",56426,1,1375,5.14726705387841,5.14726705387841
2024-04-01,2024,4,NA,"Pertussis",2038,"https://nindss.health.gov.au/pbi-dashboard/","AU","Projection",26713205,267.13205,"Australia",2038,7.62918564058487,NA,"Reporting-interval sum","",56426,1,2038,7.62918564058487,7.62918564058487
2024-05-01,2024,5,NA,"Pertussis",2578,"https://nindss.health.gov.au/pbi-dashboard/","AU","Projection",26713205,267.13205,"Australia",2578,9.65065779265348,NA,"Reporting-interval sum","",56426,1,2578,9.65065779265348,9.65065779265348
2024-06-01,2024,6,NA,"Pertussis",4465,"https://nindss.health.gov.au/pbi-dashboard/","AU","Projection",26713205,267.13205,"Australia",4465,16.7145799240488,NA,"Reporting-interval sum","",56426,1,4465,16.7145799240488,16.7145799240488
